"Census.Tract","percent_households"
"Census Tract 8019.01",0.993676603432701
"Census Tract 8019.02",0.810185185185185
"Census Tract 8020.02",0.65093572009764
"Census Tract 8020.03",0.309597523219814
"Census Tract 8020.04",0.510204081632653
"Census Tract 8021",0.220507166482911
"Census Tract 8022",0.596252129471891
"Census Tract 8023",0.571428571428571
"Census Tract 8024.02",1.6496465043205
"Census Tract 8024.03",1.45772594752187
"Census Tract 8024.04",1.13234253361642
"Census Tract 8025.03",1.30548302872063
"Census Tract 8025.04",0.800582241630277
"Census Tract 8025.05",1.44927536231884
"Census Tract 8025.06",1.54525386313466
"Census Tract 8026.05",0.759631036353771
"Census Tract 8026.07",0.51413881748072
"Census Tract 8026.08",0.440251572327044
"Census Tract 8026.09",1.19904076738609
"Census Tract 8026.10",0.898876404494382
"Census Tract 8027.01",0.579150579150579
"Census Tract 8027.02",0.263852242744063
"Census Tract 8028.01",0.644122383252818
"Census Tract 8028.02",0.479616306954436
"Census Tract 8029",0.74673304293715
"Census Tract 8030.05",0.305343511450382
"Census Tract 8030.07",0.575125808770669
"Census Tract 8030.08",0.0799360511590727
"Census Tract 8030.10",0.521221146686523
"Census Tract 8030.12",0.763358778625954
"Census Tract 8030.13",0.541795665634675
"Census Tract 8030.14",0.483675937122128
"Census Tract 8030.15",1.01095197978096
"Census Tract 8030.16",0.462249614791988
"Census Tract 8030.17",1.12285336856011
"Census Tract 8031",0.54525627044711
"Census Tract 8032",0.732302685109845
"Census Tract 8033",1.61030595813205
"Census Tract 8034",0.668286755771567
"Census Tract 8035",0.352360817477097
"Census Tract 8036.03",0.375536480686695
"Census Tract 8036.04",0.840336134453782
"Census Tract 8036.05",0.527859237536657
"Census Tract 8036.07",0.687547746371276
"Census Tract 8036.08",0.953984287317621
"Census Tract 8036.11",1.40712945590994
"Census Tract 8036.12",1.29496402877698
"Census Tract 8036.13",0.825082508250825
"Census Tract 8036.14",1.16883116883117
"Census Tract 8036.15",0.794912559618442
