"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 1408","Cook County","Illinois","5.93%",1064,47,237,35,1383,82,5.9291395516992
"Census Tract 1502","Cook County","Illinois","3.37%",1180,33,226,16,1455,49,3.36769759450172
"Census Tract 1503","Cook County","Illinois","2.46%",1208,25,177,10,1420,35,2.46478873239437
"Census Tract 1504.01","Cook County","Illinois","2.71%",778,17,82,7,884,24,2.71493212669683
"Census Tract 1504.02","Cook County","Illinois","2.47%",640,15,71,3,729,18,2.46913580246914
"Census Tract 1505.01","Cook County","Illinois","1.79%",692,12,78,2,784,14,1.78571428571429
"Census Tract 1505.02","Cook County","Illinois","1.78%",669,7,103,7,786,14,1.78117048346056
"Census Tract 1506","Cook County","Illinois","3.47%",598,17,97,8,720,25,3.47222222222222
"Census Tract 1507","Cook County","Illinois","2.85%",730,17,89,7,843,24,2.84697508896797
"Census Tract 1508","Cook County","Illinois","2.13%",738,11,136,8,893,19,2.12765957446809
"Census Tract 1510.01","Cook County","Illinois","2.19%",381,7,66,3,457,10,2.18818380743982
"Census Tract 1510.02","Cook County","Illinois","2.36%",576,9,126,8,719,17,2.3643949930459
"Census Tract 1511","Cook County","Illinois","2.05%",736,11,124,7,878,18,2.0501138952164
"Census Tract 1512","Cook County","Illinois","3.30%",630,20,74,4,728,24,3.2967032967033
"Census Tract 1601","Cook County","Illinois","4.04%",422,10,53,10,495,20,4.04040404040404
"Census Tract 1602","Cook County","Illinois","3.49%",611,16,81,9,717,25,3.48675034867503
"Census Tract 1603","Cook County","Illinois","6.03%",493,31,162,11,697,42,6.02582496413199
"Census Tract 1604","Cook County","Illinois","4.49%",726,21,168,21,936,42,4.48717948717949
"Census Tract 1605.01","Cook County","Illinois","3.36%",514,11,118,11,654,22,3.36391437308869
"Census Tract 1605.02","Cook County","Illinois","4.03%",471,15,125,10,621,25,4.02576489533011
"Census Tract 1606.01","Cook County","Illinois","4.41%",529,17,122,13,681,30,4.40528634361233
"Census Tract 1606.02","Cook County","Illinois","5.41%",532,24,132,14,702,38,5.41310541310541
"Census Tract 1607","Cook County","Illinois","3.45%",903,23,188,16,1130,39,3.45132743362832
"Census Tract 1608","Cook County","Illinois","3.62%",701,21,178,12,912,33,3.61842105263158
"Census Tract 1609","Cook County","Illinois","4.90%",423,17,82,9,531,26,4.89642184557439
"Census Tract 1610","Cook County","Illinois","2.25%",326,7,65,2,400,9,2.25
"Census Tract 1611","Cook County","Illinois","3.64%",407,10,43,7,467,17,3.64025695931478
"Census Tract 1612","Cook County","Illinois","2.09%",439,8,76,3,526,11,2.09125475285171
"Census Tract 1613","Cook County","Illinois","4.41%",490,13,160,17,680,30,4.41176470588235
"Census Tract 1701","Cook County","Illinois","1.08%",328,3,37,1,369,4,1.0840108401084
"Census Tract 1702","Cook County","Illinois","1.20%",669,6,74,3,752,9,1.1968085106383
"Census Tract 1703","Cook County","Illinois","1.17%",909,9,101,3,1022,12,1.17416829745597
"Census Tract 1704","Cook County","Illinois","2.22%",759,12,79,7,857,19,2.21703617269545
"Census Tract 1705","Cook County","Illinois","1.34%",999,9,102,6,1116,15,1.34408602150538
"Census Tract 1706","Cook County","Illinois","0.55%",492,0,49,3,544,3,0.551470588235294
"Census Tract 1707","Cook County","Illinois","1.16%",539,6,56,1,602,7,1.16279069767442
